,soup
489,"['leslie nielsen', 'priscilla presley', 'george kennedy', 'o.j. simpson', 'fred ward'] peter segal ['undercover', 'spoof', 'state prison'] frank drebin is persuaded out of retirement to go undercover in a state prison. there he is to find out what top terrorist, rocco, has planned for when he escapes. frank's wife, jane, is desperate for a baby.. this adds to frank's problems. a host of celebrities at the academy awards ceremony are humiliated by frank as he blunders his way trying to foil rocco. naked gun 33 1/3: the final insult  ['action', 'comedy']"
490,"['brad pitt', 'tom cruise', 'kirsten dunst', 'antonio banderas', 'christian slater'] neil jordan ['paris', 'san francisco', 'vampire', 'plantation', 'pity'] a vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter. interview with the vampire: the vampire chronicles  ['drama', 'horror']"
491,"['arnold schwarzenegger', 'jamie lee curtis', 'tom arnold', 'bill paxton', 'tia carrere'] james cameron ['spy', 'terrorist', 'florida', 'gun', 'horseback riding'] harry tasker is a secret agent for the united states government. for years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them. true lies  ['action', 'adventure', 'comedy', 'romance', 'thriller']"
492,"['jim carrey', 'cameron diaz', 'nancy fish', 'tim bagley', 'johnny williams'] chuck russell ['dual identity', 'bank', 'mockery', 'green', 'balloon'] when timid bank clerk stanley ipkiss discovers a magical mask containing the spirit of the norse god loki, his entire life changes. while wearing the mask, ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer tina carlyle. unfortunately, under the mask's influence, ipkiss also robs a bank, which angers junior crime lord dorian tyrell, whose goons get blamed for the heist. mask, the  ['action', 'comedy', 'crime', 'fantasy']"
493,"['mel gibson', 'jodie foster', 'james garner', 'graham greene', 'alfred molina'] richard donner ['poker', 'mississippi', 'saloon', 'ship', 'on the run'] maverick is a gambler who would rather con someone than fight them. he needs an additional three thousand dollars in order to enter a winner take all poker game that begins in a few days. he tries to win some, tries to collect a few debts, and recover a little loot for the reward. he joins forces with a woman gambler with a marvelous southern accent as the two both try and enter the game. maverick  ['adventure', 'comedy', 'western']"
494,"['kurt russell', 'james spader', 'jaye davidson', 'viveca lindfors', 'alexis cruz'] roland emmerich ['teleportation', 'uprising', 'shot to death', 'androgyny', 'space western'] an interstellar teleportation device, found in egypt, leads to a planet with humans resembling ancient egyptians who worship the god ra. stargate  ['action', 'adventure', 'sci-fi']"
495,"['harrison ford', 'willem dafoe', 'anne archer', 'joaquim de almeida', 'henry czerny'] phillip noyce ['assassination', 'spy', 'ambush', 'cia', 'helicopter'] cia analyst jack ryan is drawn into an illegal war fought by the us government against a colombian drug cartel. clear and present danger  ['action', 'crime', 'drama', 'thriller']"
496,"['woody harrelson', 'juliette lewis', 'robert downey jr.', 'tommy lee jones', 'tom sizemore'] oliver stone ['sadistic', 'journalist', 'indian', 'mass murder', 'yellow press'] two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media. natural born killers  ['action', 'crime', 'thriller']"
497,"[""brian o'halloran"", 'jeff anderson', 'jason mewes', 'kevin smith', 'lisa spoonhauer'] kevin smith ['salesclerk', 'loser', 'aftercreditsstinger'] convenience and video store clerks dante and randal are sharp-witted, potty-mouthed and bored out of their minds. so in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives. clerks  ['comedy']"
498,"['eddie murphy', 'judge reinhold', 'hã©ctor elizondo', 'gilbert r. hill', 'timothy carhart'] john landis ['detective', 'undercover', 'security camera', 'carousel ', 'investigation'] detroit cop axel foley is back in sunny southern california in the third installment of the comedic fish-out-of-water beverly hills cop series. on the trail of two murderers, axel again teams up with los angeles cop billy rosewood. soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring -- and it's run by the same gang that shot billy's boss. beverly hills cop iii  ['action', 'comedy', 'crime', 'thriller']"
499,"['tim allen', 'judge reinhold', 'wendy crewson', 'david krumholtz', 'peter boyle'] john pasquin ['holiday', 'christmas party', 'santa claus', 'deal', 'christmas tree'] scott calvin is an ordinary man, who accidentally causes santa claus to fall from his roof on christmas eve and is knocked unconscious. when he and his young son finish santa's trip and deliveries, they go to the north pole, where scott learns he must become the new santa and convince those he loves that he is indeed, father christmas. santa clause, the  ['comedy', 'drama', 'fantasy']"
500,"['brad pitt', 'anthony hopkins', 'aidan quinn', 'julia ormond', 'henry thomas'] edward zwick ['brother brother relationship', 'montana', 'indian', 'world war i', 'journey round the world'] an epic tale of three brothers and their father living in the remote wilderness of 1900s usa and how their lives are affected by nature, history, war, and love. legends of the fall  ['drama', 'romance', 'war', 'western']"
501,"['jeff bridges', 'tommy lee jones', 'suzy amis', 'lloyd bridges', 'forest whitaker'] stephen hopkins ['terrorist', 'boston', 'fireworks', 'orchestra', 'anarchist'] blown away tells the story of jimmy dove who works for the boston bomb squad. shortly after dove leaves the force his partner is killed by a bomb that dove thinks might have been made by someone he knows. blown away  ['action', 'thriller']"
502,"['hugh grant', 'andie macdowell', 'james fleet', 'simon callow', 'john hannah'] mike newell ['upper class', 'gay', 'love at first sight', 'wedding vows', 'marriage proposal'] four weddings and a funeral is a british comedy about a british man named charles and an american woman named carrie who go through numerous weddings before they determine if they are right for one another. four weddings and a funeral  ['comedy', 'romance']"
503,"['susan sarandon', 'tommy lee jones', 'mary-louise parker', 'anthony lapaglia', 'bradley whitford'] joel schumacher ['suicide', 'brother brother relationship', 'witness protection', 'principal witness ', 'brother'] a street-wise kid, mark sway, sees the suicide of jerome clifford, a prominent louisiana lawyer, whose current client is barry 'the blade' muldano, a mafia hit-man. before jerome shoots himself, he tells mark where the body of a senator is buried. clifford shoots himself and mark is found at the scene, and both the fbi and the mafia quickly realize that mark probably knows more than he says. client, the  ['drama', 'mystery', 'thriller']"
504,"['brandon lee', 'rochelle davis', 'ernie hudson', 'michael wincott', 'bai ling'] alex proyas ['halloween', 'arson', 'detroit'] exactly one year after young rock guitarist eric draven and his fiancã©e are brutally killed by a ruthless gang of criminals, draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge. crow, the  ['action', 'crime', 'fantasy', 'thriller']"
505,"['macaulay culkin', 'john larroquette', 'edward herrmann', 'christine ebersole', 'michael maccarone'] donald petrie ['family', 'life raft', 'private plane', 'toothbrush', 'gluttony'] billionaire heir richie rich has it all, including reggie jackson as a batting coach and claudia schiffer as a personal trainer -- but no playmates. what's more, scoundrel laurence van dough is scheming to take over the family empire. uh-oh! enter faithful butler cadbury to save the day. richie rich  ['children', 'comedy']"
506,"['john goodman', 'elizabeth perkins', 'rick moranis', ""rosie o'donnell"", 'kyle maclachlan'] brian levant ['manager', 'jealousy', 'bad mother-in-law', 'adoption', ""family's daily life""] modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred helps barney adopt a child. barney sees an opportunity to repay him when slate mining tests its employees to find a new executive. but no good deed goes unpunished. flintstones, the  ['children', 'comedy', 'fantasy']"
507,"['richard attenborough', 'elizabeth perkins', 'dylan mcdermott', 'j. t. walsh', 'james remar'] les mayfield ['holiday', 'competition', 'new love', 'santa claus', 'department store'] a little girl discovers dreams can come true if you really believe. six-year-old susan walker has doubts about childhood's most enduring miracle - santa claus. her mother told her the 'secret' about santa a long time ago. but after meeting a special department store santa who's convinced he's the real thing, susan is given the most precious gift of all something to believe in. miracle on 34th street  ['drama']"
